iter	RMSE
0	78242.43304
1	75804.32221
2	73329.02422
3	71290.43059
4	69034.04599
5	66839.18463
6	64899.82964
7	62981.86918
8	61208.71606
9	59475.12996
10	57745.91803
11	56139.22841
12	54661.66013
13	53216.54072
14	51994.75151
15	50796.28965
16	49555.20701
17	48348.18053
18	47303.53992
19	46253.60741
20	45233.65908
21	44280.77766
22	43267.92175
23	42404.43166
24	41584.73012
25	40745.59336
26	40019.98352
27	39240.07804
28	38582.21388
29	38012.09956
30	37393.28743
31	36813.36608
32	36193.08912
33	35685.15764
34	35095.94365
35	34625.72722
36	34143.53084
37	33659.35676
38	33184.28334
39	32799.20961
40	32422.07994
41	32021.32821
42	31700.14662
43	31353.93852
44	30979.05469
45	30597.86147
46	30251.60168
47	29895.93124
48	29576.46616
49	29312.66603
50	29042.63074
51	28760.21038
52	28545.82392
53	28292.20458
54	28050.71048
55	27783.88449
56	27593.3323
57	27383.57692
58	27133.0453
59	26926.06441
60	26733.27719
61	26528.78421
62	26331.87707
63	26184.50633
64	26010.7203
65	25846.23609
66	25713.13211
67	25558.47278
68	25410.34192
69	25275.55413
70	25132.47539
71	24998.49136
72	24849.16068
73	24719.75883
74	24611.31453
75	24458.61433
76	24319.05821
77	24183.54922
78	24063.59031
79	23915.86531
80	23787.34258
81	23699.8306
82	23569.13818
83	23484.27542
84	23358.44789
85	23240.0776
86	23134.07108
87	23024.86203
88	22942.97974
89	22857.51527
90	22764.1395
91	22684.41386
92	22592.01017
93	22482.70586
94	22428.70232
95	22368.52123
96	22281.75345
97	22207.16765
98	22128.08831
99	22063.19963
100	22007.17477
101	21906.93133
102	21856.47745
103	21812.59256
104	21736.43336
105	21657.34629
106	21612.69488
107	21565.00606
108	21490.92402
109	21435.75068
110	21386.75561
111	21304.97083
112	21239.13785
113	21168.85928
114	21102.3136
115	21044.10066
116	20996.89629
117	20928.12075
118	20871.0903
119	20817.15235
120	20759.63517
121	20711.22337
122	20658.46094
123	20599.06953
124	20556.79047
125	20515.43127
126	20467.64685
127	20412.70824
128	20360.75857
129	20322.76136
130	20289.90921
131	20259.86239
132	20211.91769
133	20172.39912
134	20128.20006
135	20073.80664
136	20038.82935
137	19997.6616
138	19964.86856
139	19908.60934
140	19875.79788
141	19826.11852
142	19771.90265
143	19733.98843
144	19685.39471
145	19649.74916
146	19615.1775
147	19581.21899
148	19546.85542
149	19505.01208
150	19470.60492
151	19447.05799
152	19409.66323
153	19359.77485
154	19315.29033
155	19288.66293
156	19259.91503
157	19230.81146
158	19191.43308
159	19159.82982
160	19144.07483
161	19097.73719
162	19065.14482
163	19038.93167
164	18999.31501
165	18973.52896
166	18935.1808
167	18896.19324
168	18868.85099
