iter	Passed	Remaining
0	54	54504
1	55	27541
2	55	18522
3	56	14001
4	56	11290
5	57	9483
6	57	8193
7	58	7225
8	58	6468
9	59	5866
10	59	5373
11	60	4960
12	60	4613
13	61	4314
14	61	4055
15	62	3828
16	62	3629
17	63	3451
18	63	3292
19	64	3149
20	64	3019
21	65	2901
22	65	2794
23	66	2695
24	66	2604
25	67	2519
26	67	2441
27	68	2370
28	68	2302
29	69	2239
30	69	2180
31	70	2126
32	70	2074
33	71	2024
34	71	1978
35	72	1934
36	72	1893
37	73	1854
38	73	1817
39	74	1782
40	74	1748
41	75	1716
42	75	1686
43	76	1657
44	76	1630
45	77	1603
46	77	1577
47	78	1553
48	78	1529
49	79	1506
50	79	1484
51	80	1463
52	80	1443
53	81	1424
54	81	1405
55	82	1387
56	82	1369
57	83	1352
58	83	1336
59	84	1320
60	84	1304
61	85	1290
62	85	1275
63	86	1261
64	86	1247
65	87	1234
66	87	1222
67	88	1210
68	88	1197
69	89	1186
70	89	1174
71	90	1163
72	90	1152
73	91	1141
74	91	1131
75	92	1121
76	92	1111
77	93	1101
78	93	1091
79	94	1082
80	94	1074
81	95	1065
82	95	1056
83	96	1048
84	96	1040
85	97	1032
86	97	1024
87	98	1016
88	98	1009
89	99	1001
90	99	994
91	100	987
92	100	980
93	101	973
94	101	967
95	102	960
96	102	954
97	102	948
98	103	941
99	103	935
100	104	929
101	104	924
102	105	918
103	105	912
104	106	907
105	106	901
106	107	896
107	107	891
108	108	886
109	108	881
110	109	876
111	109	871
112	110	866
113	110	861
114	111	857
115	111	852
116	112	847
117	112	843
118	113	838
119	113	834
120	114	830
121	114	826
122	115	822
123	115	817
124	116	814
125	116	810
126	117	806
127	117	802
128	118	798
129	118	795
130	119	791
131	119	787
132	120	784
133	120	780
134	121	777
135	121	773
136	122	770
137	122	767
138	123	763
139	123	760
140	124	757
141	124	754
142	125	751
143	125	748
144	126	745
145	126	742
146	127	739
147	127	736
148	128	733
149	128	730
150	129	727
151	129	724
152	130	721
153	130	719
154	131	716
155	131	713
156	132	710
157	132	708
158	133	705
159	133	703
160	134	700
161	134	697
162	135	695
163	135	693
164	136	690
165	136	688
166	137	685
167	138	683
168	138	681
169	139	679
170	139	676
171	140	674
172	140	672
173	141	669
174	141	667
175	142	665
176	142	662
177	143	660
178	143	658
179	144	656
180	144	654
181	145	652
182	145	650
183	146	648
184	146	646
185	147	644
186	147	642
187	148	640
188	148	638
189	149	636
190	149	634
191	150	632
192	150	630
193	151	628
194	151	626
195	152	625
196	152	623
197	153	621
198	153	619
199	154	617
200	154	616
201	155	614
202	155	612
203	156	610
204	156	608
205	157	606
206	157	604
207	158	603
208	158	601
209	159	599
210	159	597
211	160	596
212	160	594
213	161	593
214	162	591
215	162	589
216	163	588
217	163	586
218	164	585
219	164	583
220	165	581
221	165	580
222	166	578
223	166	577
224	167	575
225	167	574
226	168	572
227	168	571
228	169	569
229	169	568
230	170	566
231	170	565
232	171	563
233	171	562
234	172	560
235	172	559
236	173	557
237	173	556
238	174	554
239	174	553
240	175	551
241	175	550
242	176	548
243	176	547
244	177	545
245	177	544
246	178	543
247	178	541
248	179	540
249	179	538
250	180	537
251	180	536
252	181	534
253	181	533
254	182	532
255	182	530
256	183	530
257	183	528
258	184	527
259	184	526
260	185	524
261	185	523
262	186	522
263	186	520
264	187	519
265	187	518
266	188	516
267	188	515
268	189	514
269	189	513
270	190	512
